"DateTime","Amyotrophic lateral sclerosis[en]","Amyotrophe Lateralsklerose[de]","Sclérose latérale amyotrophique[fr]","Ice Bucket Challenge[en]"
"2009-04-23 00:00:00",4034,2461,441,0
"2009-04-24 00:00:00",3893,1295,453,0
"2009-04-25 00:00:00",3800,797,384,0
"2009-04-26 00:00:00",3833,982,392,0
"2009-04-27 00:00:00",7829,1504,595,0
"2009-04-28 00:00:00",3957,1382,562,0
"2009-04-29 00:00:00",3887,1686,588,0
"2009-04-30 00:00:00",6029,1667,482,0
"2009-05-01 00:00:00",3504,892,421,0
"2009-05-02 00:00:00",2987,656,403,0
"2009-05-03 00:00:00",3273,1098,473,0
"2009-05-04 00:00:00",3948,11551,867,0
"2009-05-05 00:00:00",3918,2432,776,0
"2009-05-06 00:00:00",3660,1912,624,0
"2009-05-07 00:00:00",3891,1366,485,0
"2009-05-08 00:00:00",3402,1325,437,0
"2009-05-09 00:00:00",2697,871,379,0
"2009-05-10 00:00:00",2777,1012,421,0
"2009-05-11 00:00:00",4080,1607,744,0
"2009-05-12 00:00:00",4152,1615,637,0
"2009-05-13 00:00:00",4004,1490,630,0
"2009-05-14 00:00:00",4092,1642,482,0
"2009-05-15 00:00:00",3111,1338,540,0
"2009-05-16 00:00:00",2331,881,438,0
"2009-05-17 00:00:00",3879,1746,711,0
"2009-05-18 00:00:00",4237,1755,636,0
"2009-05-19 00:00:00",4305,1457,680,0
"2009-05-20 00:00:00",4306,1421,537,0
"2009-05-21 00:00:00",3692,1028,432,0
"2009-05-22 00:00:00",2979,1126,462,0
"2009-05-23 00:00:00",2389,1160,428,0
"2009-05-24 00:00:00",2403,1156,457,0
"2009-05-25 00:00:00",3061,1433,643,0
"2009-05-26 00:00:00",3671,1636,660,0
"2009-05-27 00:00:00",3828,1492,622,0
"2009-05-28 00:00:00",3507,1583,506,0
"2009-05-29 00:00:00",3302,1168,487,0
"2009-05-30 00:00:00",2290,781,347,0
"2009-05-31 00:00:00",2555,898,336,0
"2009-06-01 00:00:00",3724,1234,483,0
"2009-06-02 00:00:00",4043,1319,540,0
"2009-06-03 00:00:00",3620,1902,416,0
"2009-06-04 00:00:00",3211,1357,552,0
"2009-06-05 00:00:00",2845,1245,481,0
"2009-06-06 00:00:00",2118,1723,420,0
"2009-06-07 00:00:00",2359,1047,420,0
"2009-06-08 00:00:00",3407,1467,623,0
"2009-06-09 00:00:00",3605,1428,763,0
"2009-06-10 00:00:00",3259,1336,645,0
"2009-06-11 00:00:00",3117,1288,635,0
"2009-06-12 00:00:00",3124,1128,494,0
"2009-06-13 00:00:00",2127,1251,406,0
"2009-06-14 00:00:00",2334,1042,476,0
"2009-06-15 00:00:00",3279,1539,650,0
"2009-06-16 00:00:00",3447,1505,1127,0
"2009-06-17 00:00:00",3227,1418,738,0
"2009-06-18 00:00:00",3002,1481,692,0
"2009-06-19 00:00:00",17218,1702,752,0
"2009-06-20 00:00:00",2131,1619,421,0
"2009-06-21 00:00:00",2448,1318,1097,0
"2009-06-22 00:00:00",3404,1631,781,0
"2009-06-23 00:00:00",3100,1563,636,0
"2009-06-24 00:00:00",2873,1354,560,0
"2009-06-25 00:00:00",2817,1331,438,0
"2009-06-26 00:00:00",2390,1147,470,0
"2009-06-27 00:00:00",1955,912,336,0
"2009-06-28 00:00:00",2510,1689,411,0
"2009-06-29 00:00:00",3396,1211,704,0
"2009-06-30 00:00:00",3071,1106,420,0
"2009-07-01 00:00:00",2996,1206,596,0
"2009-07-02 00:00:00",6628,1160,643,0
"2009-07-03 00:00:00",4899,988,495,0
"2009-07-04 00:00:00",8036,826,315,0
"2009-07-05 00:00:00",6860,1013,312,0
"2009-07-06 00:00:00",4186,1531,610,0
"2009-07-07 00:00:00",3488,1525,591,0
"2009-07-08 00:00:00",3313,1456,571,0
"2009-07-09 00:00:00",3593,1431,501,0
"2009-07-10 00:00:00",3722,1169,561,0
"2009-07-11 00:00:00",2582,908,367,0
"2009-07-12 00:00:00",2625,1039,428,0
"2009-07-13 00:00:00",3875,1358,495,0
"2009-07-14 00:00:00",4079,1441,354,0
"2009-07-15 00:00:00",3515,1258,532,0
"2009-07-16 00:00:00",3295,1191,604,0
"2009-07-17 00:00:00",3003,1031,461,0
"2009-07-18 00:00:00",2495,901,364,0
"2009-07-19 00:00:00",2955,1069,439,0
"2009-07-20 00:00:00",3434,1456,521,0
"2009-07-21 00:00:00",3331,1291,508,0
